ukrainian english
виступи appearances
радянської lietuvos
центрі contractor
вважається considered
гри game
гри gameplay
призначений intended
тіла body
тіла bodies
основному mainly
сезон season
жителів locals
назвали named
назвали called
футболіст footballer
теж too
кількості outnumbered
джон john
джон jon
володар lord
клуби clubs
ігри gaming
ігри games
повернувся returned
відома known
відома famous
дозволяє lets
дозволяє enables
дозволяє allows
відкриті open
відкриті opened
директор headmaster
народний folk
заступник acting
заступник vice
заступник deputy
заслужений honoured
заслужений honored
часи tenses
часи times
теорії theories
середній middle
середній average
середній medium
уряд government
виробництво production
виробництво manufacturing
кіно movies
кіно cinema
кіно movie
створено generated
створено created
навколо around
жінок women
речі things
європі europe
відділення squad
метрів meters
потрібно need
найкращий best
ван wan
ван wang
безпеки security
досягнення achievements
досягнення accomplishment
досягнення achievement
театр theater
театр theatre
республіка republic
одночасно simultaneously
вийшов out
мешканців dwellers
мешканців residents
німеччині germany
острів island
острів isle
культура culture
представників representatives
одиниця unit
бібліотека library
раді glad
профіль identity
малі small
швидко quick
швидко fast
швидко quickly
оборони defense
російсько russo
момент torque
увагу chilling
рахунок account
рахунок score
робота job
робота work
робота working
навчався studied
премія prize
замок castle
титул title
ролі role
ролі roles
одне one
актор actor
гра game
взагалі actually
взагалі altogether
армія army
російська russian
карти cards
карти maps
нагороджений decorated
стан status
стан state
олександра alexandra
рівень level
утворення formations
утворення blurry
відкриття discovery
відкриття opening
рок roc
рок rock
шлях path
шлях way
фото photo
фото picture
фото photos
поверхні splines
поверхні surface
називають referred
фон fonds
фон von
міністр cdu
відповідає replied
відповідає responding
відповідає matches
особа person
особа affiliate
особа identity
будівлі building
будівлі buildings
храм shrine
храм temple
практично virtually
практично practically
операції transaction
операції transactions
віці age
музичні musical
дебютував debuted
джерел sources
джерел origins
факультет faculty
керівництвом superiors
заклади offices
риби pisces
риби fish
останні latest
спосіб way
мережі networking
мережі networks
мережі network
союз union
головою chairman
функції function
функції functions
зробити make
визначення definition
визначення definitions
визначення defining
тренер coach
військовий military
поновлення resuming
сіл villages
сіл seal
кожен every
кожен each
кубок copa
кубок coupe
кубок cup
нижче below
параметр option
швидкість velocity
швидкість rate
швидкість speed
вдалося managed
незважаючи nevertheless
незважаючи despite
статистика insights
залізниці railways
гори mountains
верхня upper
радянські soviet
мені manny
знак sign
охорони guards
охорони conservation
військові military
корпус corpus
корпус corps
смт uts
боротьби struggle
боротьби eradication
колишній former
відміну opposite
загалом total
таке tubing
техніки inventions
архітектури architectures
команд commands
павло paul
павло pavel
здоров hey
написав wrote
умови terms
умови conditions
гурт band
вивчення study
словник vocabulary
словник dictionary
включає includes
відомо aware
старший elder
старший senior
закон law
пісень songs
матеріали content
окремих individual
версія revision
комплекс complex
відділу corporate
ступінь superlative
ступінь degree
тварини animals
тварини animal
рамках framework
використовувати use
райони districts
заснований established
заснований based
озера lake
озера lakes
батька father
міг could
міг mikoyan
середня medium
середня average
середня middle
виступів performances
дні days
поняття concept
композитор composer
молоді young
результати results
рос ross
місць places
електронна electronic
правила rules
правила policy
правила policies
грав played
швеції sweden
творчості creativity
участі participation
операція transaction
операція offensive
музики music
пункт option
країна country
країна nationality
музеї museums
створений generated
сільське rural
трохи some
трохи slightly
греції greece
іспанія spain
починаючи starting
пісня song
обраний chosen
обраний elected
позиції positions
позиції position
чотирьох four
рср ssr
наступні subsequent
острови islands
голи goals
виходу logout
виходу exit
сина son
альбому album
аль halles
дає produces
дає gives
крим crimea
повіт county
влада power
числа numbers
положення position
положення buckle
криму crimea
кожного each
поля fields
поля margins
поля field
систему negligence
створена created
третій third
користувач username
користувач user
постійно constantly
постійно permanently
постійно continually
нічого nothing
німеччина germany
жінки women
газети newspapers
чергу queue
родина family
золота gold
історичні historic
історичні historical
окремі single
окремі individual
будуть will
радянська soviet
бібліотеки libraries
бібліотеки library
уже already
повітря air
бюро bureau
михайлович mikhailovich
друге second
належать belong
внесок contribution
внесок contributions
керівник manager
варіант alternative
варіант option
називається called
теорія theory
мов languages
повинен must
повинен should
монастир convent
міжнародний international
командир commander
греко greco
монети coins
наукова scientific
встановлено established
встановлено set
встановлено installed
начальник boss
створив creator
існують exist
бере grabs
знаходяться reside
мистецтво arts
мистецтво art
результатами accounted
грудні december
перемоги victory
національна national
перейшов passed
можливості features
можливості opportunities
народилася born
травні may
травні digestive
австралії australia
справа case
справа business
отримали received
представники representatives
точки points
нею her
обласної introduce
загинув perished
машини machines
спільноти community
спільноти networks
спільноти groups
повернення return
французький french
вересні september
кінець end
кінець ending
товариство society
товариство companionship
товариство fellowship
прізвище surname
захист protection
захист defense
захист defence
широко widely
березні march
зовсім hopelessly
зовсім quite
джерело origin
джерело source
діти kids
діти children
діти babies
учасників participants
учасників attendees
рослини plants
рослини plant
фонд foundation
фонд fund
освіту educated
поле field
поле margin
земель lands
флоту fleet
англійською english
мову language
стати become
інший other
інший another
незалежності independence
похований buried
місяців months
вікі wiki
вікі vicky
описані described
щось something
хвилин minutes
районів areas
брат brother
січні january
офіційно officially
елементів items
канади canada
відносно relative
відносно relatively
бази foundation
рішенням decision
брати brethren
брати brothers
власне own
знайти locate
знайти find
озеро lake
книг books
австрії austria
карл carl
гітара guitar
німецький german
скринька box
скринька bin
собор cathedral
собор minster
держав sovereign
держав kingdoms
держав surfaced
краще better
столиці capitals
серпні august
сент saintes
сент sainte
науковий scientific
сучасних nowadays
прізвища surnames
метод method
засобів appropriately
битва battle
висоти heights
болгарії bulgaria
жовтні october
активно actively
письменники writers
громада community
створити new
створити create
створити generate
русі motion
картини paintings
доларів dollars
музика music
користувачів users
ніколи never
київська kievan
видавництво publishing
фонду fund
виступає serving
вугілля coal
жанр genre
храму temple
вважають considered
червні june
включаючи including
свято holiday
свято feast
олександрович alexandrovich
колір color
колір colour
поступово gradually
двічі double
двічі twice
ліга league
ліга ligue
цілком completely
міський urban
внутрішній internal
внутрішній inner
статистики insights
григорій gregory
зброї guns
освіта education
чим what
наявність availability
приміщення premises
починається begins
починається starts
починається starting
відразу immediately
імперія empire
сонця sun
православна orthodox
ринку market
народного folk
академія academy
академія academia
академія accademia
полк regiment
газу gas
обладнання hardware
обладнання equipment
послідовності sequences
послідовності sequence
держава state
держава nation
безпосередньо directly
липні july
адже because
майстер wizard
майстер master
примітка note
елементи items
елементи entries
квітні april
програма application
необхідно necessary
форма shape
форма uniform
жив lived
князь prince
історик historian
історик scholar
ряду rounded
обох both
щільність tightness
щільність density
редактор editor
редактор composer
технології technologies
технології technology
народні folk
груп groups
слів words
дещо something
дещо somewhat
поряд near
характер character
листопаді november
підвищення promotion
підвищення raising
найбільше pisses
східної eastern
сторінки pages
сторінки page
методи methods
поруч near
поруч nearby
передачі push
передачі commits
передачі transfers
тривалість duration
тривалість length
користувача username
користувача user
поразки defeated
поразки defeat
містах cities
угорщини hungary
полковник colonel
вміст content
вміст contents
форму shape
писав written
писав wrote
стану status
переклад translating
переклад translation
переклад translate
ятники scavengers
озброєння artillery
варто worth
відносини relations
причина reason
причина cause
нижній lower
основи fundamentals
основи basics
наразі currently
клас class
клас klaas
відродження renaissance
відродження revival
отже hence
отже therefore
смерть doom
смерть death
сторони side
сторони sides
кандидат candidate
відбулося happened
газета newspaper
матері mother
матері mothers
середовища environment
середовища environments
інша other
інша another
головна main
головна preferred
споруди facilities
споруди structural
залишається stayin
залишається remains
залишається stays
збереження saving
нове new
контроль control
досі still
землю ground
наступний next
польща poland
покоління generation
покоління generations
самі alone
контракт contract
допомогу helping
допомогу assistance
допомогу help
автомобілів rental
отримати retrieve
отримати fetch
отримати get
вам disarmed
служив served
ймовірно probably
архітектор architect
гора mountain
гора mount
гора mons
тіло body
допомоги aid
допомоги assistance
усього total
шоу shaw
шоу show
край edge
край municipality
підприємств enterprises
діє acts
взяв took
лейтенант lieutenant
змагання competitions
змагання competition
олімпійські olympic
лютому february
відсутність away
відсутність lack
відсутність absence
суд judgment
суд court
населених inhabited
міститься contained
міститься contain
довідник handbook
довідник reference
найбільших largest
автомобільний automotive
письменників writers
працюють work
північна north
північна northern
факти facts
закону thine
дерева trees
обидва both
випадках occasions
випадках cases
чемпіони champions
йде goes
верхній upper
верхній top
звичайно sure
заклад establishment
заклад bet
починає starts
млрд billion
будівля building
дати dates
гравця player
особливості peculiarities
особливості features
властивості property
властивості properties
колишні former
лінія line
південна southern
південна south
російською russian
граф graph
мапа map
художники artists
характеристики characteristics
поховані buried
писати writing
велике big
позначення marking
позначення designation
позначення tagging
засоби tools
засоби merchandise
засоби means
думка opinion
сотні hundreds
королівства realm
лікування treatment
місяць month
місяць moon
училище school
марії marys
штаб headquarters
штаб staff
зони zones
зони accelerated
спільно jointly
вокал vocalist
вокал vocal
робить does
робить drinker
робить makes
наш our
збори assembly
вага weight
шість six
максим maximus
максим maxim
максим maxime
любов love
господарство economy
наука science
середини mid
китаю china
золотий golden
бас bass
маса mass
позиція position
сама alone
ресурси resource
ресурси resources
національність ethnicity
торгівлі trade
посади sit
конкурсу presenters
конференції conference
море mare
море sea
факультету faculty
розділ chapter
розділ section
розділ partition
учнів apprentices
учнів pupils
вирішив decided
узбережжя coast
мітка tag
мітка label
попередні previous
кожна each
жан jean
рима rhyme
голосів votes
годин hours
приклад sample
приклад example
залежить depends
відділ department
навчальні teaching
працювала worked
ідеї ideas
журналіст journalist
імператор emperor
форм shapes
актори actors
австро austro
політ flight
історичний historic
земля earth
земля land
земля soil
асоціації associations
асоціації association
дім home
символ symbol
символ character
аналіз parsing
аналіз insights
пол paul
навчальних educational
потужність capacity
зростання growth
зростання ascending
повідомлення message
повідомлення messages
інше different
інше else
інше other
громадян citizens
незалежність independence
причому judgement
вартість cost
вартість value
автомобіль car
автомобіль automobile
автомобіль vehicle
полі poly
корабель ship
корабель warship
проживання accommodation
технологій technologies
населеного inhabited
громад communities
випуск release
випуск issue
випуск dispatch
галузь industry
установи institutions
установи institution
уєфа europa
уєфа uefa
комітет committee
результат score
результат result
живе lives
живе dwells
смузі smoothie
здебільшого mostly
здебільшого largely
працювали worked
хрест cross
вік vic
вік age
ніхто nobody
речовини substance
забезпечує provides
промисловість refinery
промисловість industry
червоний red
вибори elections
вибори election
достатньо enough
достатньо sufficient
грі gta
грі gris
сучасний modern
автора author
голів heads
названо named
названо revealed
швидкості speeds
сучасна contemporary
вірші verses
вірші poems
надання contributing
надання providing
надання granting
редакції revision
століть centuries
ліси forests
основу skeleton
імена names
приєднався joined
відповідь answer
відповідь reply
відповідь response
бій battle
бій bout
бій fight
виявлені detected
основна primary
королівство kingdom
джеймс james
ірландії ireland
карла carla
головні main
голосування vote
голосування voting
голосування ballot
думки thoughts
голос voice
дружини wives
річок rivers
капітан captain
колись someday
свята holy
свята holidays
використовує uses
вода water
районах neighborhoods
знання knowledge
педагог educator
кораблі ships
білорусь belarus
зустрічаються meet
сюр sur
тему topic
тему theme
центральний antwerpen
сезони seasons
лежить lies
шотландії scotland
середньої middle
представник representative
триває ongoing
триває lasts
виготовлення produce
художників painters
художників artists
залежності dependencies
містечко town
білий white
західна western
успішно successful
успішно successfully
місяці months
народна folk
створені generated
створені created
літак airplane
літак plane
літак aircraft
втрати loss
втрати losing
втрати casualties
підпис caption
підпис signature
протікає flows
автором author
насправді actually
насправді really
дав gave
архітектура architecture
порід breeds
коло circle
легко easy
всередині inside
засновник founder
засновник progenitor
будинків houses
будинків homes
історична historical
названий named
гроші money
науковці scientists
служба divine
служба service
керівництво management
зірки starlight
зірки stars
вчений scientist
гру game
швейцарії switzerland
кожному each
підприємство enterprise
залишити leave
бога god
режим mode
кілометрів miles
взяли hustling
взяли took
прийнято accepted
будинки homes
будинки houses
володіння possession
володіння dependencies
містять contain
потрапив enrolled
ділянки areas
машина machine
машина car
бік side
цифровий digital
простір space
забив winning
дніпро dnieper
куди where
олена elena
олена yelena
тиждень week
епохи epoch
вулиць streets
договір contract
договір treaty
старий old
відрізняється differs
заснував founded
курс course
курс bearing
засновано founded
засновано based
двигун engine
остаточно permanently
чорний black
захоплення capture
захоплення capturing
турнір tournament
виникнення arise
зміг could
зміг able
інженер engineer
виключно exceptionally
виключно exclusively
шкіл schools
порядок ordering
порядок order
матеріал footage
миру peace
канада canada
поза outside
поза beyond
поза posture
костянтин konstantin
костянтин constantine
досвід experience
операцій transactions
дорога road
театрі theater
творчість creativity
творчість narrative
користь benefit
користь hardship
цар king
захисник defender
захисник protector
межує adjoins
єпископ bishop
важко difficult
марка stamp
руки arms
руки hands
місяця month
місяця moon
документи docs
документи documents
усе everything
заявив insisted
заявив testified
захворювання disorder
захворювання disease
захворювання diseases
визнання acceptance
визнання confession
визнання recognition
вільям william
сучасні modern
переможець winner
літаків aircraft
змагань competitions
керував coordinate
фортеці walled
фортеці citadel
піренеї pyrenees
матеріалу reverence
закладів institutions
одразу immediately
кольори colours
кольори colors
брата brother
порівняно comparatively
порівняно compared
участю involving
ель mansoura
ель ale
вздовж along
кораблів ships
застосовується applies
канал canal
канал channel
економіка economics
економіка economy
східна eastern
прийняття adoption
білі white
чоловіка husband
запропонував offered
академік academician
математики mathematicians
математики math
молодший younger
молодший minor
значну substantial
нижня lower
визначається defined
неодноразово continuously
обслуговування maintenance
обслуговування serviced
проектів projects
групу group
біла white
біла belaya
власні own
православної orthodox
кордон cordon
кордон border
місцеві local
місцеві locals
ідея idea
клубів clubs
вимоги requirements
типи types
веде leads
стосовно concerning
стосовно regarding
князівства principalities
почесний honorary
їхні theirs
білецький bielecki
тисячі thousands
червона red
вважає thinks
вважає considers
вважає reckons
короткий short
провулок alley
причини reasons
причини causes
проводиться being
переїхав moved
степан stjepan
працівників workers
працівників employees
євреїв jews
конструкції structures
примітки note
примітки notes
примітки annotations
сад garden
сад sade
ніч night
німецька german
окупації occupation
заходи measures
заходи procedures
марк marc
вища taller
вища higher
лікар physician
лікар doctor
найбільша biggest
найбільша largest
пар pairs
пар pari
лев lion
лев leo
довгий long
польоту flying
польоту flight
змі media
богородиці virgin
богородиці theotokos
споруд relocation
слави fame
реалізації implementation
реалізації implementing
боротьбі fighting
газ gas
аеропорт airport
здатність ability
костел church
жили lived
залізнична railway
альпи alps
альпи alpes
жінка woman
жінка female
дійсно really
дочка daughter
назад backwards
назад backward
назад back
хвороби illness
хвороби disease
наступних upcoming
угоди bargain
принцип mediocrity
анна anne
сценарист screenwriter
англійська english
увійшов entered
намагався tried
течії currents
течії upstream
мужність manhood
мужність courage
спроби attempts
спроби trying
причиною cause
відкрита open
повний full
повний complete
кошти accumulated
кошти costs
випуску release
написання writing
основою base
загін squad
особисто personally
пройшов passed
родин households
родин families
жодного none
надалі still
факт fact
народ folks
народ people
рідко seldom
рідко rarely
збірка collection
прі prix
долина valley
введення entering
введення typing
сторінок pages
остання last
остання latest
гравців players
найбільший biggest
найбільший oversized
зміст content
зміст toc
зміст contents
зберігання possession
зберігання storage
невдовзі shortly
високий high
високий tall
обробки processing
використовували deployed
силами powers
польські polish
вірменії armenia
архів archived
архів archive
стіни walls
образ imagery
образ visage
виникає occurs
світло light
світло lights
попередній prev
попередній previous
природно naturally
літаки planes
грузії georgia
чехії czechia
виграв won
дорівнює equal
дорівнює equals
будучи being
авторів authors
пише writes
федір fedor
федір fyodor
мабуть apparently
найкращі best
японія japan
зміна changing
зміна modify
зміна change
хтось anyone
хтось someone
хтось somebody
залишки remains
залишки leftovers
залишки remnant
збірник compilation
риб fish
підписав signed
насамперед feds
випадків cases
щорічний budgetary
автори authors
тетяна tatiana
тетяна tatyana
технічні technical
характеру commitment
будівель buildings
музичний musical
стоїть standing
стоїть stands
середнього average
зустрічі meeting
зустрічі meetings
зустрічі appointments
залишився stayed
надає provides
